029
Bloomberg	bloomberg	PRO	PRO_498
Covid-19	covid-19	ORG	ORG_204
Агенцията за гражданска защита	агенция за граждански защита	ORG	ORG_499
Берлин	берлин	LOC	LOC_504
Германците	германец	PER	PER_64
Джулио Галера	джулио галера	PER	PER_500
Европейската комисия	европейски комисия	ORG	ORG_129
Италия	италия	LOC	LOC_50
Ломбардия	ломбардия	LOC	LOC_501
Националния здравен институт на Италия	национален здравен институт на италия	ORG	ORG_170
Ройтерс	ройтерс	ORG	ORG_153
Силвио Брусаферо	силвио брусаферо	PER	PER_502
еврозоната	еврозона	LOC	LOC_503
