033
Financial Times	financial times	PRO	PRO_460
Австрия	австрия	LOC	LOC_19
Адам Войтех	адам войтех	PER	PER_461
Виена	виена	LOC	LOC_183
Германия	германия	LOC	LOC_27
Дания	дания	LOC	LOC_27
Джошуа Муун	джошуа муун	PER	PER_462
ЕС	ес	ORG	ORG_5
Европа	европа	LOC	LOC_49
Италия	италия	LOC	LOC_50
Кийт Нийл	кийт нийл	PER	PER_467
Курц	курц	PER	PER_466
Нийл	нийл	PER	PER_467
Полша	полша	LOC	LOC_107
Себастиан Курц	себастиан курц	PER	PER_464
Словакия	словакия	LOC	LOC_118
Томас Хофер	томас хофер	PER	PER_465
Хофер	хофер	PER	PER_465
Чехия	чехия	LOC	LOC_137
Швейцария	швейцария	LOC	LOC_12
университета в Нотингам	университет в нотингам	ORG	ORG_468
университета в Съсекс	университет в съсекс	ORG	ORG_463
