139
dnews	dnews	PRO	PRO_3379
Брад Рафенспъргър	брад рафенспъргър	PER	PER_3349
Вашингтон	вашингтон	LOC	LOC_183
ДПА	дпа	ORG	ORG_457
Демократическата партия	демократически партия	ORG	ORG_584
Джо Байдън	джо байдън	PER	PER_76
Джон Ософ	джон ософ	PER	PER_3437
Джорджия	джорджия	LOC	LOC_2174
Доналд Тръмп	доналд тръмп	PER	PER_70
Камала Харис	камала харис	PER	PER_1984
Рафаел Уорнок	рафаел уорнок	PER	PER_3391
Рафенспъргър	рафенспъргър	PER	PER_3349
САЩ	сащ	LOC	LOC_69
Савана	саван	LOC	LOC_3766
Сенат	сенат	ORG	ORG_1012
Сената	сенат	ORG	ORG_1012
Тръмп	тръмп	PER	PER_70
