107
Covid-19	covid-19	EVT	EVT_233
South China Morning Post	south china morning post	PRO	PRO_235
Бен Каулинг	бен каулинг	PER	PER_141
Китай	китай	LOC	LOC_56
Лиаонинг	лиаонинг	LOC	LOC_239
Национална здравна комисия	национален здравен комисия	ORG	ORG_133
Пекин	пекин	LOC	LOC_234
Ройтерс	ройтерс	ORG	ORG_153
Синфади	синфади	PRO	PRO_240
Ухан	ухан	LOC	LOC_202
Училището по здравеопазване на Университета Хонконг	училище по здравеопазване на университет хонконг	ORG	ORG_236
Фенгтай	фенгтай	LOC	LOC_237
Хубей	хубей	LOC	LOC_238
