016
Bloomberg TV Bulgaria	bloomberg tv bulgaria	PRO	PRO_3574
Brexit	brexit	EVT	EVT_747
Америка	америка	LOC	LOC_69
Анастасов	анастасов	PER	PER_3575
Втората световна война	втори световен война	EVT	EVT_407
Гражданската война	граждански война	EVT	EVT_3455
Джо Байдън	джо байдън	PER	PER_76
Доналд Тръмп	доналд тръмп	PER	PER_70
Европа	европа	LOC	LOC_49
Китай	китай	LOC	LOC_56
Студената война	студен война	EVT	EVT_407
Тръмп	тръмп	PER	PER_70
Христо Анастасасов	христо анастасасов	PER	PER_2774
Христо Анастасов	христо анастасов	PER	PER_2774
демократи	демократ	PER	PER_2172
европеец	европеец	PER	PER_411
