028
bTV	ft.	PRO	PRO_148
ВМА	вма	ORG	ORG_39
Втора	втори	ORG	ORG_437
Втора градска болница	втори градски болница	LOC	LOC_443
Втора градска болница в София	втори градски болница в софия	LOC	LOC_443
Йорданка Фандъкова	йорданка фандъкова	PER	PER_439
Пирогов	пирогов	LOC	LOC_38
СОС	сос	ORG	ORG_441
Софийска вода	софийски вода	LOC	LOC_144
София	софия	LOC	LOC_144
Столичният общински съвет	столичен общински съвет	ORG	ORG_440
Фандъкова	фандъкова	PER	PER_439
ЧЕЗ	чез	ORG	ORG_442
градска болница	градски болница	LOC	LOC_438
коронавирус	коронавирус	EVT	EVT_3
